goal_index,layer,normalized_bin,n_success,n_failure,success_mean,failure_mean,mean_difference,hedges_g,bootstrap_ci_low,bootstrap_ci_high,warning
1,22,1,7,5,4.331,3.600,0.731,0.466,-0.673,2.119,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,22,2,7,5,4.476,4.304,0.172,0.133,-1.020,1.331,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,22,3,7,5,5.623,4.374,1.249,0.406,-0.890,4.350,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,22,4,7,5,5.503,4.565,0.938,0.246,-1.562,4.683,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,22,5,7,5,6.110,3.779,2.331,0.552,-0.219,6.429,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,22,6,7,5,4.376,4.589,-0.213,-0.211,-1.116,0.711,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,22,7,7,5,5.189,4.369,0.819,0.711,-0.094,1.902,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,22,8,7,5,4.705,4.475,0.230,0.155,-1.052,1.641,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
1,22,9,7,5,5.446,4.821,0.626,0.399,-0.629,2.112,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,22,0,5,6,5.420,2.645,2.775,2.952,1.911,3.900,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,22,1,5,6,5.017,3.047,1.969,1.774,0.826,3.149,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,22,2,5,6,5.348,3.585,1.763,1.364,0.445,3.220,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,22,3,5,6,5.275,3.381,1.894,1.923,0.851,2.929,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,22,4,5,6,5.661,3.679,1.982,1.482,0.585,3.364,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,22,5,5,6,5.758,3.940,1.818,1.977,0.935,2.714,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,22,6,5,6,5.814,3.680,2.134,2.354,1.203,3.013,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,22,7,5,6,5.377,3.639,1.738,1.979,0.831,2.610,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,22,8,5,6,5.310,3.807,1.503,1.471,0.468,2.499,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
2,22,9,5,6,5.820,3.924,1.896,3.143,1.261,2.488,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,22,0,3,3,5.499,2.431,3.068,1.762,1.686,5.321,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,22,1,3,3,5.535,2.995,2.539,1.344,0.928,4.912,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,22,2,3,3,6.360,3.196,3.164,1.473,1.453,5.938,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,22,3,3,3,5.282,3.136,2.146,4.352,1.698,2.672,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,22,4,3,3,4.864,3.081,1.783,1.500,0.692,3.187,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,22,5,3,3,4.605,3.666,0.939,2.537,0.519,1.290,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,22,6,3,3,5.037,4.002,1.035,0.674,-0.263,2.722,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,22,7,3,3,5.532,3.739,1.793,1.280,0.549,3.364,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,22,8,3,3,5.605,3.175,2.430,2.450,1.585,3.587,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
3,22,9,3,3,5.321,4.573,0.748,1.168,0.105,1.391,"All results in this file are EXPLORATORY. Group sizes are small (goals 0-2: ~11-12 examples each; goal 3: 6 examples). Subgroup confidence intervals are descriptive, not confirmatory. Do not interpret isolated subgroup intervals excluding zero as statistically significant. These results are hypothesis-generating."
